topicid,word,count
0,the,0.0295248664687144
0,to,0.0235684864548632
0,and,0.019169491688064
0,a,0.0149980086513267
0,i,0.0149464984812563
0,it,0.0148023685452241
0,of,0.0121097864164153
0,on,0.0110227031941646
0,wheel,0.00946193791670899
0,with,0.00885601817572676
0,check,0.00837141853202964
0,try,0.007956744057494
0,had,0.0072884395757259
0,that,0.00722231464112294
0,you,0.00694912672644871
0,be,0.00694805639301964
0,in,0.00677733610157282
0,out,0.00663055438426798
0,when,0.00640070563022324
0,can,0.0063755315842529
1,the,0.0326058845048779
1,a,0.0185663611047486
1,i,0.0172145785789721
1,it,0.0154573271568553
1,and,0.0151934094404508
1,to,0.0148614694115058
1,wheel,0.0142474198870112
1,is,0.0134340587114627
1,have,0.0130036513049192
1,be,0.0129628063972472
1,tire,0.0124229339090531
1,of,0.0117173204163308
1,in,0.0105940298941714
1,you,0.0102722114805671
1,if,0.010222672116982
1,not,0.00939385367239426
1,they,0.00936007502259109
1,but,0.00837638929186899
1,was,0.00825592848111841
1,on,0.0082362993589257
2,the,0.0250537654422694
2,is,0.0173295138123493
2,to,0.0167167600023315
2,i,0.0163545288324307
2,it,0.0131764614499175
2,a,0.0123861322677966
2,on,0.0116924938455837
2,for,0.011519665108338
2,that,0.0102992489725967
2,tires,0.00946966192242088
2,there,0.00946403062569181
2,and,0.00921690368596842
2,one,0.00892021963290936
2,in,0.00726280115176874
2,have,0.00713618719886708
2,of,0.00699908948223369
2,so,0.00672445812705837
2,how,0.00641041437055329
2,you,0.00635019899964091
2,my,0.00600756881010706
3,the,0.0205284585801143
3,and,0.0155640239224239
3,i,0.0155430520866515
3,on,0.0136786183672456
3,a,0.011470889733339
3,s80,0.0105047052975097
3,car,0.00992871523459246
3,wheels,0.00980188000564208
3,for,0.00965000829029448
3,have,0.00832618453679173
3,is,0.00814733907888681
3,my,0.00792794859877913
3,or,0.00788512682321522
3,in,0.00740359593163078
3,with,0.00732727270886784
3,2,0.00729580846586342
3,that,0.0071217985487584
3,are,0.00695849619605198
3,of,0.00693336222798198
3,volvo,0.00673261286846753
4,you,0.0317030727053112
4,are,0.0274924216751739
4,i,0.0243913003383256
4,what,0.0235739912998732
4,the,0.0227913794631428
4,to,0.0219455485184943
4,have,0.0207951709576903
4,and,0.0177418790965182
4,they,0.0167266274814638
4,do,0.0157611649379522
4,if,0.0145505669021723
4,of,0.0140104689447586
4,them,0.0132959426883242
4,a,0.0121537212203771
4,these,0.0121088672069097
4,for,0.0113301390360845
4,that,0.0109015381642912
4,but,0.00961489733669177
4,on,0.00880453464287176
4,out,0.00803713312598926
5,the,0.0214366662781263
5,i,0.0177017448522204
5,a,0.0161849011555202
5,and,0.0155219503881493
5,on,0.0137292960597297
5,to,0.0116694491063982
5,it,0.0108492474019956
5,my,0.0108159369318165
5,had,0.0104441593878536
5,s80,0.0100371369460304
5,that,0.00944370667676087
5,is,0.00913657860909396
5,for,0.00819331685302201
5,of,0.00815221709093003
5,car,0.00774838145363482
5,but,0.00761619988904569
5,with,0.00719718456083142
5,from,0.00682659122783851
5,in,0.00582360930559277
5,have,0.00580226639847662
6,i,0.0212803986358973
6,the,0.0192115652200441
6,a,0.0166339404497078
6,of,0.0146275492876961
6,and,0.0125706627031315
6,to,0.0116520781102799
6,have,0.0103598461390966
6,on,0.0100587517446227
6,tires,0.00968318842122148
6,that,0.00921302368455705
6,my,0.00920330547061053
6,with,0.00867069387352517
6,s80,0.00792044665688591
6,for,0.00757138173315447
6,so,0.00752232107000861
6,am,0.00743390187604165
6,it,0.00742573195185751
6,is,0.00682982969134576
6,new,0.00669358961582678
6,at,0.00643270684460606
