topicid,word,count
0,throttle,0.00864326481360837
0,body,0.0076144413507454
0,cleaned,0.00690980730312058
0,has,0.00574382391757651
0,been,0.00482814719347296
0,have,0.00391705402370716
0,11,0.00358742234874496
0,yet,0.00314511596276751
0,straps,0.00200285438899955
0,retaining,0.00193903088374327
0,this,0.00190693670791874
0,last,0.00182031205830065
0,the,0.00167167771644261
0,clip,0.00121783090639399
0,so,0.00116718258095162
0,lately,0.00109500325719302
0,and,0.00109145223235176
0,removing,0.00103406080976501
0,was,0.000926517646323285
0,of,0.000919711887273275
1,i,0.0480254933823509
1,you,0.020088675094095
1,and,0.0185785646994358
1,a,0.0169584445365791
1,what,0.0106459669849904
1,that,0.00921784795380423
1,have,0.00863586729849909
1,used,0.00785989430061798
1,of,0.00694505319653017
1,so,0.00664912454187598
1,from,0.00653316246333848
1,would,0.00615593862726928
1,can,0.00558383841169352
1,your,0.00504854071953864
1,if,0.0047384586665196
1,buy,0.00458011442226833
1,for,0.00436874667407196
1,my,0.00416293769821548
1,did,0.00414756440654994
1,an,0.00374524017642402
2,of,0.00212447981348352
2,10,0.0017679885357906
2,regular,0.00157356316123168
2,axle,0.00156127141888711
2,stands,0.00149656195866161
2,bottle,0.00130457375493738
2,a,0.00129825610834616
2,and,0.00118713014757454
2,level,0.00107548041338664
2,for,0.00107467792746486
2,the,0.000971091625799852
2,bunch,0.000956520353560136
2,car,0.000890123359257037
2,i,0.000862002734958767
2,losers,0.00083567607639837
2,foam,0.000828378018110669
2,have,0.000825108510012887
2,just,0.000809838941667605
2,not,0.00080347445294579
2,in,0.000802830791310874
3,tighten,0.00668667305317008
3,then,0.00531249373335824
3,s80,0.00495522941996921
3,model,0.00476148937196581
3,and,0.00340985273066556
3,nm,0.00299296845660499
3,base,0.00292110613260804
3,t6,0.00178683669697681
3,99,0.00165311024834485
3,for,0.00132353525721453
3,48,0.00131143345039067
3,to,0.00127458393112144
3,na,0.00120236437851016
3,02,0.0012008614132375
3,the,0.00117115849279757
3,of,0.00112576940282483
3,i,0.00101295006971023
3,a,0.000999952940037718
3,2,0.000998768668222753
3,with,0.00094832678480112
4,3,0.0102250878257001
4,any,0.00625328316085804
4,thought,0.00526421592002225
4,9,0.00370854180708103
4,codes,0.00368288838998332
4,stored,0.00196653588111038
4,and,0.00177799007022226
4,of,0.00142696591772286
4,cylinder,0.00121772648096907
4,for,0.00115343252497913
4,tc,0.00102755217172657
4,actuator,0.00102127512182174
4,wastegate,0.000999281155668024
4,2,0.00098339957572316
4,was,0.000897016165295999
4,a,0.000892234133348051
4,that,0.000864581553169926
4,car,0.000857436040717252
4,i,0.000840981761410597
4,on,0.000816252767186785
5,the,0.0670255828416743
5,in,0.0132728277896164
5,screws,0.0131220213090229
5,first,0.00875070230859908
5,remove,0.00721426113431194
5,of,0.00607844128626628
5,are,0.00550649653175686
5,car,0.00459041149323397
5,for,0.00389454653709804
5,screw,0.00334588919642503
5,that,0.00321148777411919
5,video,0.00300263394004326
5,just,0.00286266417306296
5,off,0.00269622747824607
5,and,0.0026928652110794
5,test,0.00265978557978318
5,all,0.00230334965070569
5,not,0.00213308004702641
5,cable,0.00196587780404062
5,battery,0.00186432129003325
6,the,0.0602814107030833
6,it,0.0427657947643587
6,to,0.0393419094435906
6,is,0.0295601318722734
6,on,0.0157557827930824
6,one,0.0156396790943533
6,car,0.0123729211493051
6,be,0.00929619560436312
6,a,0.00857590261297445
6,get,0.00814803227070511
6,out,0.00753535099669393
6,but,0.00710245951193701
6,that,0.00655969710593703
6,if,0.00642942016039261
6,and,0.00632724262220436
6,i,0.00598057079707131
6,of,0.0057883318085886
6,new,0.00541467394393683
6,cleaning,0.00531578976664325
6,just,0.0051568712704488
