topicid,word,count
0,was,0.0181609675490237
0,i,0.0143648093879062
0,my,0.0135337886125976
0,had,0.0129537291389
0,and,0.0126887492834178
0,a,0.0105028010440164
0,car,0.00994450884549091
0,for,0.00903222368570983
0,it,0.00884662051540496
0,about,0.00783484221538762
0,to,0.0077411310438696
0,got,0.0077262441188317
0,on,0.00760412386314974
0,in,0.00731998512777467
0,the,0.00724044884400855
0,with,0.00694089073391649
0,so,0.00666011620902911
0,me,0.00627287383944991
0,that,0.0062265152522188
0,at,0.00621612775498885
1,the,0.0274525761813636
1,to,0.0231250786460994
1,i,0.0215112407288487
1,a,0.0194649886008855
1,you,0.0192577296600462
1,it,0.0180702683862776
1,if,0.0164225191762238
1,have,0.0157346691151197
1,do,0.0140677587827056
1,and,0.0136434649033028
1,is,0.013238623400096
1,that,0.0113842588665876
1,be,0.0109232574517437
1,of,0.010501593395571
1,for,0.0104987501264573
1,not,0.0104678408996162
1,can,0.00968942153865663
1,or,0.00948660775964975
1,are,0.00923471610119033
1,on,0.00904530709133983
2,the,0.0380535744949789
2,to,0.0211471163874372
2,and,0.0189065285627772
2,of,0.015725345398642
2,on,0.0149432529899752
2,is,0.0146695044246001
2,it,0.0140878367676204
2,a,0.0126372625001305
2,you,0.0116745176555168
2,in,0.00983917161037737
2,cam,0.00951870530211596
2,belt,0.0092711749193429
2,off,0.00866343284407608
2,that,0.00849214272506518
2,i,0.00842139605068327
2,timing,0.00816094780579424
2,remove,0.00781469694740818
2,side,0.00714138783625444
2,from,0.00691401274909031
2,engine,0.00688247217720539
3,oil,0.0274903924155709
3,the,0.0266919676175746
3,is,0.0205510619737354
3,it,0.0170635830104863
3,and,0.0150893174309092
3,a,0.0148712273432748
3,of,0.0129704020635397
3,to,0.0129171459282935
3,i,0.0125367346662811
3,be,0.0110714127060431
3,that,0.0107493368383978
3,engine,0.00921831324092668
3,in,0.00912679330842054
3,coolant,0.00893486361473891
3,from,0.00870928876221962
3,or,0.0084642082797168
3,if,0.00789188184664952
3,leak,0.00753687393584199
3,have,0.0071184289094547
3,pressure,0.007088473016913
4,the,0.0241553748733662
4,and,0.0174666237650481
4,i,0.0169651986935417
4,sensor,0.0167257855959009
4,a,0.0150723256522191
4,it,0.0126616759190552
4,engine,0.0125094605198673
4,is,0.0123881559372672
4,on,0.0116801280896841
4,to,0.0115078010461235
4,have,0.00931843580295256
4,car,0.00891676303404035
4,plugs,0.00859346170141515
4,s80,0.0085106112465172
4,codes,0.00849110809942072
4,my,0.00792902862139251
4,check,0.00781369182445397
4,light,0.00764995540803487
4,2,0.00759760583686564
4,code,0.00751180290062541
