topicid,word,count
0,the,0.0268221243812793
0,control,0.0190885471793608
0,and,0.0177300760676423
0,to,0.0135781996673713
0,i,0.0134703248838
0,arm,0.0129978092385723
0,ball,0.0105148060153514
0,lower,0.0103691106042958
0,bushings,0.0100607296358097
0,on,0.00929287841660357
0,a,0.00897979978294913
0,of,0.0086642468306045
0,is,0.00863296347266021
0,it,0.00798313212081207
0,are,0.00761578514069819
0,front,0.00747065891201035
0,that,0.00741512215904872
0,be,0.00719854598939739
0,coil,0.00717997294992423
0,in,0.00703761619623609
1,the,0.0223828022246636
1,a,0.0155146263585071
1,i,0.0146274720030976
1,it,0.0145405217019804
1,and,0.0143812915738419
1,is,0.0139511851671959
1,to,0.0120453283441234
1,on,0.0112394597946444
1,that,0.00974755726323123
1,car,0.00969574038425406
1,in,0.00944492145261787
1,when,0.00893345991012785
1,front,0.00866565942647724
1,of,0.00850078804894922
1,have,0.00824713697468119
1,my,0.00817836474962731
1,or,0.0080641452021624
1,be,0.00730144183164534
1,like,0.00688954892912275
1,strut,0.00685041786208066
2,the,0.0301569800648763
2,to,0.0244843918569116
2,i,0.0194906783753302
2,a,0.0193128190153057
2,and,0.0168944866865995
2,it,0.0158133231561397
2,is,0.0141916202119555
2,you,0.0135292066404444
2,if,0.0118959751109328
2,on,0.0102736846322942
2,do,0.0102274509241715
2,for,0.0101793469744266
2,have,0.00982827296888638
2,of,0.00968521317895075
2,that,0.0096484183108153
2,be,0.00870521243306145
2,can,0.00858163547634654
2,in,0.00818099622470082
2,need,0.00768442490694221
2,or,0.0072621752830865
