topicid,word,count
0,the,0.0222340524801513
0,and,0.0167711969947914
0,i,0.01387931573138
0,to,0.0128667490684958
0,a,0.0119562810288576
0,it,0.011737279416965
0,is,0.010126193542735
0,was,0.00893968782328321
0,that,0.00837075101993983
0,on,0.00832529977061718
0,in,0.00795988350826242
0,battery,0.00794051618253379
0,all,0.00791441819695325
0,of,0.0077837269476953
0,with,0.00686791029508883
0,for,0.00662680109821747
0,out,0.00641416433781558
0,not,0.00615448286549762
0,no,0.00579299718584263
0,but,0.00557118983058084
1,the,0.0352741038579011
1,to,0.024320879660984
1,you,0.0213520862105903
1,and,0.0173997672139091
1,a,0.0164080341149611
1,is,0.0163480374494506
1,i,0.0161723198298668
1,it,0.0153685225519925
1,have,0.0132214361556021
1,that,0.0123055799654302
1,if,0.0114343824478064
1,of,0.0106975126517802
1,be,0.0103822118269695
1,are,0.00974992734813565
1,for,0.00971727389218374
1,on,0.00938809797839789
1,in,0.00827272163171061
1,do,0.00826840587139177
1,will,0.00783630682189004
1,can,0.00779996700636261
2,the,0.0215428798265681
2,i,0.0199965292912759
2,it,0.0166535460205867
2,to,0.0164046358841088
2,a,0.0153823283454635
2,and,0.0149616797641515
2,car,0.0130828326232049
2,on,0.0122790052823773
2,my,0.0117065985985076
2,have,0.0108900411519465
2,is,0.01038459037544
2,this,0.0102272096073277
2,s80,0.00998218747288633
2,but,0.00924187309059583
2,in,0.00863551857314578
2,for,0.00837020890909214
2,when,0.00766796502286244
2,that,0.0071853653017733
2,with,0.00693990934747463
2,not,0.00680955560865852
