topicid,word,count
0,the,0.0198242559032779
0,and,0.0179740312320013
0,i,0.0167628856981249
0,it,0.0160754776952833
0,was,0.0150809957250959
0,a,0.0148317573696
0,to,0.0134132487160591
0,car,0.0131700609465364
0,on,0.0124225128958144
0,after,0.0113604409546478
0,light,0.0103593191319252
0,codes,0.00954500286175696
0,when,0.00926121360483904
0,for,0.00913637049434105
0,driving,0.00884484029052178
0,but,0.00804481149464682
0,my,0.00784419445284114
0,had,0.00760077184518878
0,service,0.00747226638544724
0,back,0.00735362075486456
1,it,0.0271770325857764
1,to,0.0270411224425744
1,the,0.0264746062000842
1,i,0.0250546558708862
1,you,0.0230873435307483
1,a,0.0183733650305931
1,get,0.0140737759301624
1,if,0.014010583532011
1,can,0.0136822761237282
1,do,0.0136421433246649
1,be,0.0136268627478278
1,and,0.0135869039651858
1,have,0.0134526171069147
1,is,0.0127867152158769
1,that,0.0121590371946159
1,what,0.0113116536476245
1,would,0.0111542222074581
1,for,0.011068415429227
1,know,0.0103732530861697
1,but,0.010127387737798
2,the,0.0168087889635545
2,of,0.014315317670949
2,in,0.0128283754726817
2,and,0.0125137374792039
2,to,0.012426747739739
2,a,0.0122146397864477
2,are,0.0108141800796114
2,i,0.0108084141254911
2,have,0.0101471042572273
2,that,0.00901243798928076
2,on,0.00884590439917104
2,4,0.00848454143660361
2,car,0.00830212021422622
2,for,0.00705434364505039
2,with,0.00699592168780335
2,is,0.0069732374733084
2,my,0.0065651184269881
2,these,0.00649582865618065
2,was,0.006121214910327
2,vehicle,0.00602868522906922
3,the,0.0195576495668545
3,in,0.0166278787883293
3,gear,0.0164898141834212
3,when,0.0159137220251698
3,and,0.0151277664496229
3,a,0.0149170022766619
3,it,0.0147640142524618
3,is,0.0146795270343907
3,i,0.0136723889731154
3,s80,0.0131866725634516
3,to,0.0117519593795847
3,car,0.0114824582563759
3,on,0.0114328242850456
3,t6,0.0105996838003294
3,up,0.00996377144925825
3,or,0.00913384436938057
3,shift,0.00792774705424054
3,with,0.00715349918013308
3,my,0.00704757480133327
3,at,0.0063264861668329
4,the,0.0224758449074947
4,a,0.0163968869676793
4,and,0.014974276136435
4,that,0.0141958676347081
4,is,0.0135158763256552
4,with,0.0119930800418057
4,on,0.0108786948073128
4,in,0.0105359522934857
4,to,0.0102747884926332
4,it,0.00929957007241615
4,i,0.00884317147681628
4,have,0.00862357360113164
4,of,0.00844502812695159
4,be,0.00815036765557189
4,or,0.00695110531751145
4,all,0.00686416044607061
4,may,0.006557298185141
4,for,0.00650112597017751
4,at,0.00617335038243298
4,place,0.00599246043953609
5,fluid,0.0226561587521068
5,the,0.0217882224145922
5,transmission,0.0212505073178797
5,trans,0.0148255520410013
5,a,0.0143751636549815
5,is,0.0137250859850764
5,and,0.0135592448400388
5,to,0.0120042812057014
5,i,0.0119378905916172
5,of,0.0109289407199653
5,in,0.0108471405495811
5,it,0.0105859666793649
5,my,0.00992848602866826
5,on,0.00904638410055505
5,have,0.00803348769793121
5,not,0.00760846901964552
5,with,0.00726993730756928
5,that,0.00672329429363716
5,or,0.00620773628374832
5,for,0.00618321942875643
6,the,0.0381025758215044
6,it,0.0234598835431997
6,a,0.0201906304675971
6,and,0.0201639107907952
6,to,0.019904271120338
6,is,0.0155266742665259
6,i,0.0117481575639141
6,of,0.0117075391766522
6,if,0.0111788826850073
6,in,0.0111440656399147
6,you,0.0109074517720461
6,that,0.0100914549911802
6,not,0.00999329175158354
6,on,0.00943073410596592
6,out,0.00939808583125862
6,be,0.00767244722984397
6,there,0.0075728312277565
6,will,0.00712410894918095
6,but,0.00678443129251475
6,have,0.00676134478016495
