topicid,word,count
0,the,0.0216828684902403
0,i,0.0163981077495377
0,and,0.0162997746379743
0,it,0.0152594919042564
0,a,0.0149807144637337
0,to,0.0140937618053984
0,is,0.0121130132932695
0,fuel,0.0112288520371668
0,of,0.0110901984909255
0,on,0.0102365581189765
0,in,0.0102359484816472
0,up,0.00950760070648879
0,car,0.00935998947959459
0,gas,0.00929860092584884
0,but,0.00830871151329834
0,for,0.00796287881693987
0,with,0.00749766532218585
0,if,0.00691431352996905
0,you,0.00687557672050508
0,have,0.0063890165863116
1,the,0.0344688332479457
1,fuel,0.0219878045571548
1,to,0.0201811344226466
1,is,0.019159548143186
1,a,0.019025663880301
1,it,0.0171161229265235
1,i,0.0165967891411679
1,and,0.0165061624719173
1,you,0.0132229144410089
1,of,0.011814821455344
1,on,0.0112477465685865
1,that,0.0106286483040362
1,have,0.0096437692237199
1,be,0.00955761307216722
1,pump,0.00935739934862065
1,if,0.00883937059467476
1,in,0.00824827387579838
1,for,0.00789473024978313
1,or,0.00672218573620647
1,with,0.00670013020966052
2,the,0.0153232494936282
2,i,0.0142018761683733
2,and,0.013631120332301
2,a,0.0121017368147985
2,it,0.011787066598382
2,to,0.0116416698349049
2,fuel,0.00982837709253406
2,that,0.00901926720602738
2,my,0.00870773293321207
2,on,0.00828476221335306
2,is,0.00824947614418639
2,for,0.0081390093312072
2,car,0.00805243880656306
2,have,0.00764051260370703
2,in,0.00694669863004115
2,was,0.00693711952878489
2,this,0.0068879282338226
2,when,0.00670052673356634
2,had,0.00664073358734177
2,with,0.00663454307551443
