topicid,word,count
0,volvo,0.00429465389241231
0,up,0.00338049009274953
0,back,0.00320426765540761
0,c70,0.00271232823365595
0,convertible,0.00271232788326705
0,camera,0.00270262871698871
0,with,0.00116282868793644
0,i,0.0011610342214531
0,for,0.00114316027407017
0,at,0.00113947589354225
0,the,0.001112534987026
0,in,0.00110628006618341
0,a,0.00110359731129868
0,and,0.00108936099320334
0,my,0.00108834886536115
0,of,0.0010824639792786
0,just,0.00107658171422755
0,to,0.00107654336574633
0,that,0.00107527211069762
0,car,0.00106996544525026
1,expansion,0.00273655666453438
1,valve,0.00273655666376836
1,thermal,0.0027365566549071
1,car,0.00121420771908457
1,jacks,0.00120519618778824
1,on,0.00118943822511311
1,with,0.00117823267603789
1,i,0.00116109575376735
1,up,0.00112833013047742
1,to,0.00112427771183878
1,a,0.00112204082456033
1,for,0.00111712641478077
1,my,0.00111169428742345
1,pull,0.00110953457627521
1,at,0.00110183279911661
1,and,0.00110151045034996
1,in,0.00109715520813679
1,of,0.00109561592479554
1,the,0.00109281074565558
1,it,0.00109150998963221
2,msn,0.00738660655039331
2,with,0.00118899674951711
2,i,0.00114593948760163
2,a,0.00111831938345159
2,up,0.00111488848355907
2,for,0.00110831937823306
2,and,0.00110734019234754
2,my,0.00110394734791639
2,at,0.00110265904777438
2,in,0.00109310055020014
2,of,0.001084031227251
2,to,0.00108291573387189
2,that,0.00108275058376977
2,the,0.00108242820684878
2,volvo,0.00106951818129715
2,car,0.00106055570827075
2,have,0.00105756887120685
2,an,0.00105147511085658
2,or,0.00104863473526509
2,on,0.00104720726214364
3,2,0.0299379028543447
3,4t,0.0262676264036296
3,v70,0.0241213084611888
3,an,0.00324146506264285
3,heres,0.00250120416769969
3,album,0.0025012041292539
3,cyn,0.0024604224896234
3,with,0.000988864279354063
3,i,0.000987337152354401
3,up,0.000966847105308995
3,and,0.000961529744052172
3,a,0.000958413201564172
3,at,0.000958077551132916
3,for,0.000956396581736586
3,in,0.000956314836886957
3,my,0.000948034630072512
3,the,0.000942451987829654
3,to,0.000940059759537599
3,that,0.000937728299755896
3,of,0.000934848083210238
4,the,0.0459320255956671
4,to,0.0180463954148483
4,a,0.0173843809348078
4,and,0.0149957567119421
4,i,0.0144709003356703
4,it,0.0138812751785637
4,jack,0.0117268981983658
4,you,0.0104561737501142
4,car,0.00809618175923598
4,on,0.00805366003872012
4,of,0.00753108221897269
4,is,0.00707605434324759
4,up,0.00603243659028305
4,have,0.00592715902374292
4,if,0.00544066797603791
4,that,0.00518100568592143
4,can,0.00506205675454713
4,for,0.00503053536664578
4,with,0.00472028913182295
4,in,0.00428854319659788
