topicid,word,count
0,1,0.00615087370983223
0,a,0.00557757518281475
0,long,0.0052410803053718
0,i,0.00520823865992534
0,tire,0.00480236795445071
0,any,0.00446241103047248
0,to,0.00429928571845772
0,get,0.00409104612572637
0,battery,0.00406005512073799
0,run,0.00364099479296989
0,s80,0.00360821275240804
0,the,0.0034385482597203
0,cap,0.00327595444444215
0,volvo,0.00319838850006904
0,my,0.00318882606096418
0,4,0.0031074077477536
0,with,0.00295273471870801
0,life,0.00284006989753332
0,in,0.00272195864416923
0,low,0.00263739889876869
1,the,0.0705118686468271
1,and,0.0205573054976182
1,it,0.0173128295184011
1,to,0.0171059856845309
1,on,0.0163141865103415
1,is,0.0146516601219149
1,of,0.00806298860652512
1,them,0.00762489237128245
1,be,0.00714057417851428
1,tires,0.00690114352993309
1,wheel,0.00625307504243876
1,a,0.00613276338146385
1,my,0.00594321836699228
1,but,0.00589825086783008
1,in,0.00567486702408007
1,for,0.00540178261733289
1,car,0.00492763541010261
1,i,0.00469627817118551
1,off,0.00432768848271984
1,new,0.00430842756540756
2,i,0.0382860371030111
2,you,0.0244598411673773
2,have,0.019870441591337
2,are,0.0194860906431003
2,a,0.0172703035623146
2,what,0.0153497403705611
2,do,0.012616412319557
2,they,0.0113812297030383
2,to,0.0106481614793783
2,of,0.00947249841709923
2,that,0.00865765424458586
2,if,0.00757351014769854
2,with,0.00682902736648213
2,for,0.00682136296171116
2,and,0.00619054644723863
2,about,0.00610934097624973
2,one,0.00576404165807394
2,these,0.00561392163797635
2,so,0.00551639351297871
2,or,0.00537397019543683
