topicid,word,count
0,is,0.0130123083907325
0,to,0.0119602878982147
0,a,0.0107961899524541
0,fluid,0.010745690783368
0,alarm,0.00707923734048868
0,you,0.00693391570470518
0,the,0.00588319096715301
0,and,0.00533646496005252
0,i,0.00452905800923397
0,of,0.00410062386454422
0,steering,0.0039558453341018
0,service,0.00328645835891537
0,that,0.00312436428519798
0,wheel,0.00304409644676463
0,if,0.00279289600316938
0,tranny,0.00244299825414135
0,do,0.00240378301289087
0,from,0.00233955115940156
0,but,0.00232327928264424
0,when,0.00226908248736347
1,the,0.0284083638175026
1,a,0.0164875707134258
1,to,0.0157865827951736
1,and,0.0129455652570039
1,steering,0.0071895654970977
1,is,0.00599418497590953
1,you,0.00488377042016743
1,with,0.00466653992972609
1,for,0.00430898693427777
1,that,0.00383998961710385
1,i,0.00350643904244362
1,but,0.00324480656604782
1,be,0.00322249704848788
1,if,0.00319938456737786
1,in,0.002808107719234
1,get,0.00271350389164556
1,like,0.00258537420104128
1,as,0.00257307863775586
1,my,0.00256554200492495
1,power,0.00247446704544371
2,the,0.0492003330363308
2,i,0.012005105012639
2,a,0.00765730930558122
2,of,0.00714986886475005
2,be,0.00713965119921985
2,steering,0.00598601721630822
2,on,0.00549168912997504
2,and,0.00521776868400238
2,power,0.00507278271339856
2,for,0.00460321538762043
2,is,0.00405254337994768
2,was,0.00356616281035195
2,box,0.00325205514533389
2,s80,0.00318398515729896
2,this,0.00309807940431335
2,that,0.00308500257137428
2,have,0.00302163640603288
2,rack,0.00288493685680269
2,fluid,0.00287496556792468
2,in,0.00286505872980813
3,it,0.018557148180897
3,you,0.0113970873700584
3,to,0.0113623636419626
3,is,0.0105007617845063
3,the,0.00872768270136381
3,i,0.00777762838172409
3,steering,0.00523362806745189
3,note,0.00433999147696221
3,be,0.00415138886140128
3,and,0.00327578024014015
3,or,0.00299552693319884
3,up,0.00295047033300008
3,have,0.0028099090936988
3,this,0.00267751086294561
3,just,0.00254152426701554
3,that,0.00248984578625312
3,box,0.00242194122163485
3,will,0.00235793601736957
3,service,0.00217595840802182
3,for,0.0019937447775972
4,the,0.0464712282015559
4,it,0.0192865565214144
4,a,0.0127475917582668
4,siren,0.00979899355437247
4,is,0.008798824806446
4,you,0.00699486880940765
4,to,0.00627225355441465
4,i,0.00606196458085114
4,in,0.00572833809839303
4,and,0.00438648116012778
4,that,0.0042619182108527
4,or,0.00407050251099234
4,bad,0.00390300770439508
4,when,0.00358853949881039
4,do,0.00348148630023705
4,if,0.00344967582982729
4,alarm,0.00340761882101299
4,on,0.0033538188168702
4,power,0.00322787482027456
4,of,0.00290672396758289
5,the,0.0239874914783028
5,and,0.0123406498597611
5,to,0.00897617193603557
5,it,0.00636684959530803
5,car,0.00633588304952181
5,i,0.00582534649943272
5,have,0.00570396545035806
5,on,0.005299874619947
5,you,0.00495946548217549
5,power,0.00343921812748867
5,if,0.00340460534812007
5,in,0.00306320113682119
5,just,0.00297238422166556
5,for,0.00295845592920252
5,this,0.00281817067781887
5,clamps,0.00276529752636415
5,is,0.00273456819744884
5,then,0.00223599674132072
5,not,0.00213894932083412
5,was,0.00213827446976288
6,i,0.0218956829203039
6,steering,0.0141459243470033
6,it,0.0139992854588816
6,to,0.0135254269863596
6,the,0.0122060670681625
6,have,0.00977316483344935
6,you,0.00843474649125262
6,is,0.00833234918638496
6,and,0.00688613973634551
6,wheel,0.00594441181266018
6,was,0.00426420385774891
6,correct,0.00420557591415874
6,of,0.00381261474067149
6,what,0.0035674727759272
6,car,0.00342024352153911
6,that,0.00331408863972664
6,fluid,0.00331267538658187
6,with,0.00315452167083077
6,a,0.00281006411744617
6,but,0.00267727318147909
